Timestamp_Epoch_s,Sim_Time_Myr,Core_Separation_kpc,Relative_Velocity_kms,Tidal_Strain_arb,Collision_Phase,Peak_Central_mu,Effective_Radius_kpc
1789816741.790,0.07,148.62,539.41,55.1593,1. INBOUND ORBITAL PLUNGE,31.00,15.332
1789816742.906,0.14,147.72,1002.61,55.8311,1. INBOUND ORBITAL PLUNGE,31.00,17.705
1789816743.117,0.22,146.32,1472.84,56.9073,1. INBOUND ORBITAL PLUNGE,31.00,17.705
1789816743.525,0.07,148.62,539.41,55.1593,1. INBOUND ORBITAL PLUNGE,31.00,15.332
1789816743.694,0.14,147.72,1002.61,55.8311,1. INBOUND ORBITAL PLUNGE,31.00,17.705
1789816743.854,0.22,146.32,1472.84,56.9073,1. INBOUND ORBITAL PLUNGE,31.00,17.705
1789816744.017,0.29,144.40,1953.40,58.4304,1. INBOUND ORBITAL PLUNGE,31.00,17.705
1789816744.178,0.36,141.95,2448.14,60.4644,1. INBOUND ORBITAL PLUNGE,31.00,17.705
1789816744.316,0.43,138.95,2961.52,63.1014,1. INBOUND ORBITAL PLUNGE,31.00,20.445
1789816744.466,0.50,135.38,3498.90,66.4729,1. INBOUND ORBITAL PLUNGE,31.00,20.445
1789816744.608,0.58,131.21,4066.85,70.7672,1. INBOUND ORBITAL PLUNGE,31.00,20.445
1789816744.751,0.65,126.40,4673.74,76.2589,1. INBOUND ORBITAL PLUNGE,31.00,23.609
1789816744.897,0.72,120.90,5330.56,83.3592,1. INBOUND ORBITAL PLUNGE,31.00,23.609
1789816745.050,0.79,114.64,6052.24,92.7070,1. INBOUND ORBITAL PLUNGE,31.00,23.609
1789816745.198,0.86,107.54,6859.96,105.3427,1. INBOUND ORBITAL PLUNGE,31.00,23.609
1789816745.354,0.94,99.50,7785.32,123.0696,1. INBOUND ORBITAL PLUNGE,31.00,23.609
1789816745.513,1.01,90.34,8878.40,149.2827,1. INBOUND ORBITAL PLUNGE,31.00,20.445
1789816745.654,1.08,79.84,10225.54,191.1461,1. INBOUND ORBITAL PLUNGE,31.00,20.445
1789816745.795,1.15,67.61,11994.21,266.5433,1. INBOUND ORBITAL PLUNGE,31.00,20.445
1789816745.934,1.22,52.97,14575.16,434.2939,1. INBOUND ORBITAL PLUNGE,31.00,17.705
1789816746.076,1.30,34.31,19257.19,1035.2648,1. INBOUND ORBITAL PLUNGE,31.00,17.705
1789816746.216,1.37,3.64,39037.88,92002.7072,4. APOGALACTICON TURNAROUND,22.98,15.332
1789816746.356,1.44,81.68,71160.34,182.6238,3. TIDAL TAIL EJECTION,31.00,23.609
1789816746.496,1.51,158.03,70228.02,48.7871,3. TIDAL TAIL EJECTION,31.00,41.984
1789816746.639,0.07,148.62,539.41,55.1593,1. INBOUND ORBITAL PLUNGE,31.00,15.332
1789816746.780,0.14,147.72,1002.61,55.8311,1. INBOUND ORBITAL PLUNGE,31.00,17.705
1789816746.879,0.14,147.72,1002.61,55.8311,1. INBOUND ORBITAL PLUNGE,31.00,17.705
1789816746.977,0.14,147.72,1002.61,55.8311,1. INBOUND ORBITAL PLUNGE,31.00,17.705
1789816747.080,0.14,147.72,1002.61,55.8311,1. INBOUND ORBITAL PLUNGE,31.00,17.705
1789816747.190,0.14,147.72,1002.61,55.8311,1. INBOUND ORBITAL PLUNGE,31.00,17.705
1789816747.296,0.14,147.72,1002.61,55.8311,1. INBOUND ORBITAL PLUNGE,31.00,17.705
1789816747.403,0.14,147.72,1002.61,55.8311,1. INBOUND ORBITAL PLUNGE,31.00,17.705
1789816747.508,0.14,147.72,1002.61,55.8311,1. INBOUND ORBITAL PLUNGE,31.00,17.705
1789816747.616,0.14,147.72,1002.61,55.8311,1. INBOUND ORBITAL PLUNGE,31.00,17.705
1789816747.723,0.14,147.72,1002.61,55.8311,1. INBOUND ORBITAL PLUNGE,31.00,17.705
1789816747.829,0.00,147.72,1002.61,55.8311,1. INBOUND ORBITAL PLUNGE,18.27,13.277
1789816747.940,0.00,147.72,1002.61,55.8311,1. INBOUND ORBITAL PLUNGE,18.27,13.277
1789816748.046,0.00,147.72,1002.61,55.8311,1. INBOUND ORBITAL PLUNGE,18.27,13.277
1789816748.154,0.00,147.72,1002.61,55.8311,1. INBOUND ORBITAL PLUNGE,18.27,13.277
1789816748.265,0.00,147.72,1002.61,55.8311,1. INBOUND ORBITAL PLUNGE,18.27,13.277
